subtest,cell,arc,lut,border,eps,v_inside,v_outside,rel_jump
C_clamp_transition,AND2_X1,A1->ZN,cell_rise,slew_low,1e-12,0.09817412619742677,0.09817412619749617,7.069359261447661e-13
C_clamp_transition,AND2_X1,A1->ZN,cell_rise,slew_high,0.001,0.12797251770879392,0.12798640003922254,0.00010846723108367286
C_clamp_transition,AND2_X1,A1->ZN,cell_rise,slew_high,1e-06,0.12798638615689212,0.12798640003922254,1.0846723104832411e-07
C_clamp_transition,AND2_X1,A1->ZN,cell_rise,slew_high,1e-09,0.1279864000253402,0.12798640003922254,1.0846730369758862e-10
C_clamp_transition,AND2_X1,A1->ZN,cell_rise,slew_high,1e-12,0.12798640003920866,0.12798640003922254,1.0843173808749592e-13
C_clamp_transition,AND2_X1,A1->ZN,cell_rise,load_low,0.001,0.04343971897497953,0.043672232973635386,0.005324069387434875
C_clamp_transition,AND2_X1,A1->ZN,cell_rise,load_low,1e-06,0.04343971897497953,0.043439951488978175,5.352538174542852e-06
C_clamp_transition,AND2_X1,A1->ZN,cell_rise,load_low,1e-09,0.04343971897497953,0.043439719207493524,5.352566692681318e-09
C_clamp_transition,AND2_X1,A1->ZN,cell_rise,load_low,1e-12,0.04343971897497953,0.04343971897521204,5.352439251846898e-12
C_clamp_transition,AND2_X1,A1->ZN,cell_rise,load_high,0.001,0.19206862945083691,0.19221301009911307,0.0007511491974539382
C_clamp_transition,AND2_X1,A1->ZN,cell_rise,load_high,1e-06,0.1922128657184648,0.19221301009911307,7.511491974239029e-07
C_clamp_transition,AND2_X1,A1->ZN,cell_rise,load_high,1e-09,0.1922130099547324,0.19221301009911307,7.51149331715985e-10
C_clamp_transition,AND2_X1,A1->ZN,cell_rise,load_high,1e-12,0.19221301009896868,0.19221301009911307,7.511692589281595e-13
C_clamp_transition,AND2_X1,A1->ZN,cell_fall,slew_low,0.001,0.06383044995655805,0.06391572834837216,0.0013342317144427105
C_clamp_transition,AND2_X1,A1->ZN,cell_fall,slew_low,1e-06,0.06383044995655805,0.06383053523494989,1.3360124824327055e-06
C_clamp_transition,AND2_X1,A1->ZN,cell_fall,slew_low,1e-09,0.06383044995655805,0.06383045004183645,1.3360143223251944e-09
C_clamp_transition,AND2_X1,A1->ZN,cell_fall,slew_low,1e-12,0.06383044995655805,0.06383044995664333,1.3360238904307486e-12
C_clamp_transition,AND2_X1,A1->ZN,cell_fall,slew_high,0.001,0.1268476578593697,0.12689353938346645,0.000361574941637586
C_clamp_transition,AND2_X1,A1->ZN,cell_fall,slew_high,1e-06,0.12689349350194234,0.12689353938346645,3.615749417244223e-07
C_clamp_transition,AND2_X1,A1->ZN,cell_fall,slew_high,1e-09,0.12689353933758493,0.12689353938346645,3.6157491569540996e-10
C_clamp_transition,AND2_X1,A1->ZN,cell_fall,slew_high,1e-12,0.12689353938342057,0.12689353938346645,3.615626667484421e-13
C_clamp_transition,AND2_X1,A1->ZN,cell_fall,load_low,0.001,0.05592734979939025,0.056103599611112866,0.003141506301633183
C_clamp_transition,AND2_X1,A1->ZN,cell_fall,load_low,1e-06,0.05592734979939025,0.05592752604920197,3.1513965334785825e-06
C_clamp_transition,AND2_X1,A1->ZN,cell_fall,load_low,1e-09,0.05592734979939025,0.05592734997564005,3.151406236019541e-09
C_clamp_transition,AND2_X1,A1->ZN,cell_fall,load_low,1e-12,0.05592734979939025,0.0559273497995665,3.1513723748914296e-12
C_clamp_transition,AND2_X1,A1->ZN,cell_fall,load_high,0.001,0.13910255127714397,0.13917569433829158,0.000525544790671747
C_clamp_transition,AND2_X1,A1->ZN,cell_fall,load_high,1e-06,0.13917562119523041,0.13917569433829158,5.255447907848229e-07
